uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_7474,Yes,Rural,Yes,6.0,43,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
uniqueid_4886,No,Rural,Yes,6.0,33,Male,Head of Household,Married/Living together,No formal education,Other Income
uniqueid_8473,No,Rural,Yes,4.0,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_8306,No,Urban,Yes,9.0,20,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_5729,No,Rural,Yes,5.0,20,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_7746,No,Rural,No,2.0,23,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4423,No,Rural,No,3.0,24,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_5635,No,Rural,Yes,8.0,45,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_3245,No,Rural,Yes,4.0,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3167,No,Rural,Yes,5.0,23,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
uniqueid_960,No,Urban,Yes,3.0,30,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_7812,No,Rural,Yes,5.0,21,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_3550,Yes,Rural,Yes,4.0,31,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
uniqueid_2268,No,Rural,Yes,4.0,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_3899,No,Rural,Yes,4.0,18,Male,Parent,Single/Never Married,Primary education,Farming and Fishing
uniqueid_7704,Yes,Rural,Yes,4.0,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3659,No,Rural,No,3.0,32,Female,Head of Household,Divorced/Seperated,No formal education,Dont Know/Refuse to answer
uniqueid_6689,Yes,Rural,Yes,1.0,45,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_591,No,Rural,Yes,5.0,20,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_3820,No,Rural,Yes,5.0,21,Male,Child,Single/Never Married,Primary education,Informally employed
uniqueid_8750,No,Rural,Yes,3.0,62,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8029,No,Rural,No,1.0,74,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_2898,No,Rural,Yes,4.0,49,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_2167,No,Rural,Yes,5.0,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2311,No,Rural,Yes,3.0,67,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_1127,No,Urban,Yes,5.0,18,Female,Parent,Single/Never Married,Primary education,Informally employed
uniqueid_1204,No,Rural,Yes,,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_4804,No,Rural,Yes,6.0,30,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
uniqueid_4849,No,Rural,Yes,9.0,55,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_8419,No,Rural,Yes,6.0,49,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_7139,No,Rural,Yes,4.0,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3278,No,Rural,Yes,4.0,55,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4301,Yes,Urban,Yes,1.0,32,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_2103,No,Urban,Yes,6.0,18,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_6653,No,Rural,Yes,6.0,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1526,No,Rural,Yes,3.0,47,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_774,No,Rural,No,1.0,63,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_721,No,Rural,Yes,8.0,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
uniqueid_1577,No,Rural,Yes,2.0,35,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_7265,No,Rural,Yes,2.0,57,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_3254,Yes,Urban,Yes,1.0,50,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2654,No,Rural,Yes,7.0,51,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_7032,No,Rural,Yes,9.0,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6512,No,Rural,No,,32,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
uniqueid_2606,No,Rural,Yes,4.0,28,Female,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_7285,No,Rural,No,3.0,95,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_5940,No,Rural,No,3.0,43,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
uniqueid_7653,No,Urban,Yes,3.0,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_1300,No,Rural,Yes,,38,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_8401,No,Rural,Yes,3.0,23,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
uniqueid_3207,No,Rural,Yes,7.0,19,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_2382,No,Rural,No,2.0,30,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_2673,No,Rural,Yes,6.0,39,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_4743,No,Rural,Yes,7.0,37,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
uniqueid_4815,Yes,Urban,Yes,,35,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_8305,Yes,Urban,Yes,3.0,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_5528,No,Rural,Yes,1.0,39,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_3108,No,Rural,Yes,4.0,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4250,Yes,Rural,Yes,4.0,30,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_383,Yes,Rural,Yes,7.0,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_680,No,Rural,Yes,3.0,63,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1214,No,Rural,Yes,4.0,65,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_6773,Yes,Urban,Yes,,35,Female,Child,Single/Never Married,Tertiary education,Formally employed Government
uniqueid_1988,No,Urban,No,7.0,37,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_5587,No,Rural,Yes,3.0,53,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_7926,No,Rural,Yes,4.0,45,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_5348,Yes,Rural,Yes,4.0,66,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_1934,No,Rural,No,4.0,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_7860,No,Rural,Yes,4.0,28,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
uniqueid_8120,No,Rural,No,3.0,59,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2177,No,Urban,Yes,5.0,47,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_5004,No,Rural,Yes,4.0,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_8726,No,Urban,Yes,1.0,48,Female,Head of Household,Widowed,Primary education,Other Income
uniqueid_1403,No,Rural,Yes,,33,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_2600,No,Rural,Yes,7.0,52,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2105,No,Rural,No,1.0,45,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_971,No,Rural,Yes,4.0,31,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_4838,No,Rural,Yes,1.0,32,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_399,No,Rural,No,3.0,53,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_5597,No,Rural,Yes,3.0,26,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3700,No,Rural,No,,17,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
uniqueid_1656,No,Rural,Yes,4.0,65,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_38,No,Rural,Yes,3.0,68,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_2870,No,Urban,Yes,3.0,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_5605,No,Rural,Yes,5.0,56,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_6293,No,Rural,Yes,1.0,26,Male,Child,Single/Never Married,Primary education,Informally employed
uniqueid_5378,No,Rural,Yes,7.0,41,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_6705,No,Rural,Yes,4.0,38,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_2015,No,Rural,Yes,7.0,20,Male,Child,Single/Never Married,Primary education,Dont Know/Refuse to answer
uniqueid_9,No,Urban,Yes,13.0,18,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_3845,No,Rural,Yes,5.0,52,Female,Spouse,Married/Living together,Vocational/Specialised training,Other Income
uniqueid_695,No,Rural,Yes,5.0,21,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_6648,No,Rural,Yes,7.0,28,Female,Child,Single/Never Married,No formal education,Self employed
uniqueid_4293,No,Rural,No,8.0,17,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_6548,No,Rural,No,2.0,77,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_1192,No,Rural,Yes,4.0,30,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_301,No,Urban,No,6.0,53,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_3370,No,Rural,Yes,6.0,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_2983,No,Rural,Yes,,55,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_809,No,Rural,Yes,5.0,39,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_1266,No,Rural,Yes,7.0,43,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_5001,No,Rural,Yes,7.0,38,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_6743,Yes,Rural,Yes,6.0,38,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_5770,No,Rural,Yes,3.0,34,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_6410,No,Rural,Yes,4.0,23,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_5922,No,Rural,Yes,,25,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_8163,No,Rural,No,5.0,26,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_7334,No,Rural,No,4.0,54,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_3057,No,Rural,Yes,,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_4099,No,Rural,Yes,3.0,25,Female,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_1633,No,Rural,No,6.0,39,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_6363,No,Rural,Yes,4.0,27,Female,Child,Single/Never Married,Primary education,Other Income
uniqueid_3131,No,Rural,Yes,3.0,62,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_7558,No,Rural,Yes,3.0,26,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_4270,No,Urban,Yes,5.0,37,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_7647,No,Rural,Yes,8.0,29,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2895,No,Rural,Yes,4.0,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8245,No,Rural,Yes,1.0,41,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
uniqueid_5085,No,Rural,No,4.0,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_5497,No,Rural,Yes,4.0,45,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_3622,No,Rural,Yes,,30,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_8470,No,Urban,Yes,4.0,39,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
uniqueid_6560,Yes,Rural,Yes,4.0,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_666,No,Urban,Yes,3.0,25,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_7890,Yes,Rural,Yes,8.0,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_6489,No,Urban,Yes,3.0,77,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_8185,No,Rural,Yes,8.0,18,Male,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_1131,No,Urban,Yes,3.0,32,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_730,No,Rural,Yes,3.0,28,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_3517,No,Rural,Yes,6.0,17,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
uniqueid_175,No,Rural,Yes,3.0,20,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_56,No,Rural,Yes,3.0,30,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_8643,No,Rural,No,3.0,59,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1967,No,Rural,Yes,,24,Female,Child,Widowed,Primary education,Farming and Fishing
uniqueid_2949,No,Rural,Yes,3.0,54,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4672,No,Rural,Yes,5.0,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1122,No,Rural,Yes,,57,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_578,Yes,Urban,Yes,5.0,38,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
uniqueid_3685,No,Rural,Yes,6.0,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_669,Yes,Rural,Yes,4.0,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_3417,No,Rural,Yes,,29,Male,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_2596,No,Urban,Yes,5.0,32,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_901,No,Rural,Yes,6.0,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_1525,No,Urban,Yes,3.0,21,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_186,No,Rural,Yes,7.0,17,Male,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_963,No,Rural,Yes,4.0,19,Female,Child,Single/Never Married,Primary education,Dont Know/Refuse to answer
uniqueid_2971,No,Rural,Yes,,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_5080,Yes,Urban,Yes,3.0,32,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
uniqueid_4820,No,Rural,No,3.0,63,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_4494,No,Rural,No,4.0,59,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_4718,No,Rural,Yes,5.0,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_5056,No,Rural,No,2.0,63,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_3377,No,Rural,No,1.0,96,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_3005,No,Rural,Yes,4.0,48,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_4368,No,Rural,No,5.0,34,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_2732,No,Rural,Yes,7.0,55,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4353,No,Rural,Yes,9.0,38,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Private
uniqueid_3413,No,Rural,Yes,4.0,33,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_6259,No,Rural,Yes,2.0,24,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_3864,No,Rural,Yes,3.0,23,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
uniqueid_8299,No,Rural,No,7.0,44,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
uniqueid_4723,No,Rural,No,3.0,58,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
uniqueid_4358,No,Rural,Yes,4.0,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_943,No,Rural,No,4.0,34,Male,Head of Household,Married/Living together,Secondary education,Informally employed
uniqueid_802,No,Rural,Yes,,30,Male,Other non-relatives,Single/Never Married,Primary education,Informally employed
uniqueid_7240,Yes,Rural,Yes,4.0,28,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_1421,No,Rural,Yes,4.0,28,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_4216,No,Urban,Yes,4.0,56,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2944,No,Rural,Yes,4.0,27,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8070,No,Urban,Yes,6.0,35,Female,Spouse,Married/Living together,Primary education,Formally employed Private
uniqueid_7031,No,Rural,Yes,3.0,22,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1470,Yes,Rural,Yes,,25,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_8548,No,Rural,Yes,3.0,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_1622,No,Rural,Yes,5.0,36,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_315,No,Rural,Yes,4.0,26,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_5983,Yes,Rural,Yes,7.0,56,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
uniqueid_3012,No,Rural,No,3.0,32,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
uniqueid_6388,No,Rural,Yes,5.0,25,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_7808,No,Rural,Yes,5.0,56,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_7627,No,Urban,Yes,8.0,41,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_1755,No,Rural,Yes,7.0,44,Female,Head of Household,Married/Living together,No formal education,Dont Know/Refuse to answer
uniqueid_2095,No,Rural,Yes,4.0,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_5550,No,Rural,Yes,1.0,51,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_6206,No,Rural,No,2.0,20,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5421,No,Rural,Yes,9.0,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_6799,No,Rural,Yes,1.0,53,Female,Head of Household,Single/Never Married,Primary education,Dont Know/Refuse to answer
uniqueid_4002,Yes,Rural,Yes,3.0,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_7385,No,Rural,Yes,4.0,66,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_2852,No,Rural,Yes,5.0,19,Male,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_3206,No,Rural,Yes,7.0,16,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_4208,No,Rural,No,3.0,80,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8142,No,Rural,Yes,4.0,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_6604,No,Rural,No,3.0,32,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_2955,No,Rural,Yes,6.0,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1699,No,Rural,No,6.0,43,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_3600,No,Rural,Yes,1.0,24,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_618,No,Rural,Yes,2.0,24,Female,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4053,Yes,Urban,Yes,4.0,61,Male,Head of Household,Married/Living together,Primary education,Other Income
uniqueid_8225,No,Rural,Yes,3.0,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6878,No,Rural,No,5.0,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_7321,No,Rural,No,6.0,47,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_6303,No,Rural,Yes,5.0,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_1444,No,Rural,Yes,4.0,36,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_6502,No,Rural,Yes,6.0,17,Female,Parent,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_4190,No,Rural,Yes,3.0,42,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2665,No,Rural,Yes,2.0,21,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_5017,Yes,Rural,Yes,,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_139,No,Rural,No,2.0,66,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_5665,No,Rural,Yes,,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_7913,No,Urban,Yes,1.0,56,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_3365,No,Rural,Yes,4.0,43,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_1993,No,Rural,Yes,5.0,32,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_5576,No,Rural,Yes,7.0,47,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_5035,No,Rural,Yes,4.0,25,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6718,No,Rural,Yes,6.0,18,Male,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_5045,Yes,Rural,Yes,2.0,59,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_5258,No,Rural,Yes,4.0,23,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_5650,No,Rural,Yes,7.0,24,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_2525,No,Rural,Yes,3.0,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_8190,No,Rural,Yes,4.0,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2403,No,Rural,Yes,6.0,48,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4186,Yes,Urban,Yes,6.0,35,Male,Other non-relatives,Single/Never Married,Tertiary education,Other Income
uniqueid_6765,No,Rural,Yes,6.0,50,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2751,Yes,Urban,Yes,5.0,34,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
uniqueid_1292,No,Rural,Yes,3.0,31,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_6365,No,Rural,Yes,3.0,28,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_2238,No,Rural,Yes,7.0,58,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4766,No,Rural,No,8.0,45,Male,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_6367,No,Rural,Yes,,73,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_1438,No,Rural,Yes,5.0,52,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_993,No,Rural,Yes,3.0,24,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_7401,No,Rural,Yes,3.0,25,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_340,No,Rural,Yes,3.0,59,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_7867,No,Rural,Yes,3.0,55,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_3238,No,Rural,Yes,1.0,43,Male,Head of Household,Single/Never Married,No formal education,Farming and Fishing
uniqueid_879,No,Rural,Yes,3.0,49,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_7771,No,Urban,Yes,6.0,20,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_4486,No,Rural,Yes,8.0,45,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_8135,No,Rural,No,4.0,81,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_6787,No,Rural,Yes,,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1996,No,Rural,Yes,3.0,23,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_1379,No,Rural,Yes,7.0,20,Male,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_6547,No,Rural,Yes,4.0,31,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_5742,No,Rural,Yes,5.0,35,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_2864,No,Urban,Yes,5.0,46,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
uniqueid_3395,No,Rural,Yes,,27,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3484,No,Rural,Yes,7.0,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
uniqueid_6429,Yes,Urban,Yes,8.0,37,Female,Spouse,Married/Living together,Tertiary education,Formally employed Private
uniqueid_4034,No,Rural,Yes,4.0,59,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_5423,No,Rural,Yes,3.0,17,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_2689,No,Rural,Yes,2.0,75,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_5646,No,Rural,Yes,6.0,45,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
uniqueid_2356,No,Rural,Yes,4.0,20,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_1086,Yes,Rural,Yes,,23,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_2000,No,Rural,Yes,7.0,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_1213,No,Rural,Yes,2.0,53,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_6897,No,Rural,Yes,,58,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_2337,No,Rural,Yes,,25,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_8282,No,Rural,Yes,,41,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_267,No,Rural,No,6.0,50,Male,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_4223,No,Rural,Yes,7.0,50,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_5313,No,Rural,Yes,3.0,26,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_2801,No,Rural,Yes,,46,Male,Head of Household,Divorced/Seperated,No formal education,Informally employed
